Date,CashPool,SharesValue,EquityOpen,EquityHigh,EquityLow,EquityClose,EquityPct,EquityGrowth,Drawdown,DrawdownPct,EquityPeak,EquityTrough,DailyStrategyReturn,CumulativeStrategyReturn,WeeklyStrategyReturn,MonthlyStrategyReturn,ComparisonIndexValue,ComparisonIndexPct,StrategyRisk,StrategyRiskPct,NumPositions,SharesPct,CashPct
2013-02-07,1559.241997879556,18665.72551,20354.761457879555,20470.111557879554,20100.972747879554,20224.967507879555,1.1248375393977768,1.0112483753939778,-356.0879199999981,-1.7098074969377641,20826.199477879552,19981.582107879556,-0.007800440180588009,0.011248375393977827,-0.01450640617111354,0,46.01,4.710969503868913,2442.238869711127,12.075366097669338,6,92.2905092565806,7.709490743419402
2013-02-08,1559.241997879556,18760.055309999996,20260.654907879558,20413.446387879554,20106.279097879557,20319.29730787955,1.596486539397756,1.0159648653939775,-412.75308999999834,-1.9818934819980094,20826.199477879552,19981.582107879556,0.004664027270414373,0.015964865393977457,-0.017451575944961162,0,46.38,5.553026854802014,2283.234919711127,11.236780903962261,6,92.32629960449025,7.673700395509754
2013-02-11,1559.241997879556,18741.10126,20196.515027879555,20503.578177879554,20086.006917879553,20300.343257879555,1.501716289397773,1.0150171628939777,-322.6212999999989,-1.54911269501029,20826.199477879552,19981.582107879556,-0.0009328103089788486,0.015017162893977698,-0.008412832043362295,0,46.36,5.507510241238056,2377.564719711127,11.711943436169623,6,92.31913481426311,7.680865185736886
2013-02-12,1559.241997879556,18761.23008,20335.059997879554,20518.544837879555,20199.148507879552,20320.472077879556,1.6023603893977816,1.0160236038939778,-307.654639999997,-1.4772481187783248,20826.199477879552,19981.582107879556,0.000991550721300749,0.016023603893977834,0.007207774711920578,0,46.34,5.461993627674114,2358.6106697111263,11.60706631554422,6,92.32674323754067,7.673256762459345
2013-02-13,1559.241997879556,18686.67083,20526.103807879554,20609.004887879553,20090.830507879553,20245.912827879554,1.2295641393977712,1.0122956413939777,-217.19458999999915,-1.0428911440644335,20826.199477879552,19981.582107879556,-0.0036691691863381948,0.012295641393977652,-0.006772901457661518,0,46.7,6.281292671825228,2378.7394897111267,11.74923309180455,6,92.29848507629448,7.701514923705529
2013-02-14,1559.241997879556,18815.568330000002,20173.947207879555,20489.399317879554,20047.921277879555,20374.810327879557,1.8740516393977849,1.0187405163939778,-336.80015999999887,-1.6171945359388762,20826.199477879552,19981.582107879556,0.006366593647608054,0.01874051639397778,0.00740880399148347,0.01874051639397778,47.07,7.123350022758313,2304.180239711127,11.308965348051547,6,92.34720729769941,7.652792702300602
2013-02-15,1559.241997879556,18688.03167,20213.909707879557,20385.400327879557,20092.825987879554,20247.273667879555,1.2363683393977771,1.0123636833939778,-440.7991499999953,-2.1165606834227626,20826.199477879552,19981.582107879556,-0.00625952624577264,0.012363683393977754,-0.003544593049094602,0.020377269081230942,47,6.964041875284484,2433.077739711127,12.0168165829209,6,92.29900270300021,7.700997296999796
2013-02-18,1559.241997879556,18961.204680000003,20332.620977879553,20627.340357879555,20281.150207879553,20520.446677879558,2.6022333893977883,1.0260223338939778,-198.85911999999735,-0.954850740823906,20826.199477879552,19981.582107879556,0.01349184164154238,0.02602233389397779,0.010842349668869211,0.04285788245160038,47.42,7.919890760127456,2305.541079711127,11.235335740505265,6,92.40152018932233,7.598479810677676
2013-02-19,1559.241997879556,19130.72666,20506.340307879556,20832.818757879555,20361.611737879553,20689.968657879555,3.449843289397777,1.0344984328939777,0,0,20832.818757879555,20832.818757879555,0.008261125240647704,0.03449843289397769,0.01818346436952245,0.05164807904104385,47.61,8.352298588984985,2578.714089711127,12.46359592105545,6,92.4637778642273,7.536222135772714
2013-02-20,1559.241997879556,19157.045570000002,20661.768757879556,20987.456667879556,20429.876767879556,20716.287567879557,3.5814378393977857,1.035814378393978,0,0,20987.456667879556,20987.456667879556,0.0012720613759837907,0.03581437839397794,0.023233071484545453,0.05588088972822747,47.84,8.875739644970428,2748.236069711128,13.26606449493512,6,92.47335222215611,7.526647777843887
2013-02-21,1559.241997879556,18757.366309999998,20719.875327879556,20871.133037879554,20250.258507879556,20316.608307879553,1.5830415393977635,1.0158304153939777,-116.3236300000026,-0.554253103845742,20987.456667879556,20250.258507879556,-0.01929299632911563,0.01583041539397767,-0.0028565674508569394,0.03745213273353243,46.7,6.281292671825228,2774.5549797111275,13.656585477582151,6,92.32528395364682,7.674716046353184
2013-02-22,1559.241997879556,18973.239289999998,20435.218297879554,20742.76218787955,20274.036817879554,20532.481287879553,2.6624064393977642,1.0266240643939777,-244.69448000000557,-1.1659082082799506,20987.456667879556,20250.258507879556,0.010625443810730717,0.026624064393977687,0.01408622339374288,0.04671071626792611,47.12,7.237141556668184,2374.875719711127,11.566433137883976,6,92.40597385178194,7.594026148218072
2013-02-25,1559.241997879556,19120.81118,20522.045777879557,20856.025537879555,20443.986077879556,20680.053177879556,3.4002658893977786,1.0340026588939777,-131.43113000000085,-0.6262365758741545,20987.456667879556,20250.258507879556,0.007187240934543926,0.03400265889397769,0.007777925232594907,0.05344478302015965,47.44,7.965407373691398,2590.748699711128,12.52776613980048,6,92.46016446636898,7.539835533631031
2013-02-26,1559.241997879556,18913.58217,20567.417157879554,20753.448257879558,20248.482427879553,20472.824167879557,2.364120839397783,1.0236412083939779,-234.00840999999855,-1.1149917481813736,20987.456667879556,20248.482427879553,-0.010020719396488853,0.023641208393977875,-0.010495157996157745,0.04008372088064194,46.96,6.873008648156585,2738.320589711128,13.375392506947643,6,92.3838451153901,7.616154884609905
2013-02-27,4276.777749809392,15936.65266,20206.883449809393,20363.88005980939,20088.69529980939,20213.430409809393,1.0671520490469628,1.0106715204904697,-623.5766080701651,-2.971187113989489,20987.456667879556,20088.69529980939,-0.012670150241271272,0.01067152049046971,-0.024273516981384247,0.02769558304573949,47.24,7.510241238051899,2252.0696989509092,11.141452258682428,5,78.84190034496118,21.158099655038814
2013-02-28,1247.1402498093926,19283.52121,20383.739619809392,20639.780669809392,20222.991459809393,20530.66145980939,2.6533072990469555,1.0265330729904696,-347.6759980701645,-1.6565894742370972,20987.456667879556,20088.69529980939,0.015694072879685494,0.026533072990469586,0.010535870391654933,0.037506542550900246,47.97,9.171597633136097,2554.4507299740108,12.442125817400363,6,93.92547457737403,6.074525422625966
2013-03-01,1247.1402498093926,19184.54639,20477.17223980939,20553.32623980939,20263.446639809394,20431.68663980939,2.1584331990469585,1.0215843319904696,-434.1304280701661,-2.068523284837009,20987.456667879556,20088.69529980939,-0.00482082957695984,0.021584331990469607,-0.004909033967056886,0.02562996058261624,47.85,8.898497951752399,2882.681779974011,14.108878189025042,6,93.89604846728882,6.103951532711189
2013-03-04,1247.1402498093926,19042.39084,20446.693299809394,20660.456239809388,20166.677479809394,20289.531089809392,1.4476554490469606,1.0144765544904697,-327.0004280701687,-1.5580755364733139,20987.456667879556,20088.69529980939,-0.006957602302054777,0.014476554490469695,-0.018883998252378076,0.019195845923061006,47.16,7.328174783796084,2783.7069599740103,13.71991766419951,6,93.8532820483181,6.146717951681892
2013-03-05,1247.1402498093926,19443.45788,20593.979969809392,20866.55767980939,20426.859969809393,20690.598129809394,3.4529906490469693,1.0345299064904696,-120.89898807016652,-0.5760535446641206,20987.456667879556,20088.69529980939,0.019767191179762778,0.03452990649046961,0.010637221330289659,0.032979618535837085,47.53,8.170232134729185,2641.5514099740108,12.766916613049819,6,93.9724301734293,6.0275698265707
